"";"BMS";"DOMEIN_ID";"BOS_BHI";"Omtrek";"OmtrekklassetypeID";"Omtrekklasse";"Hoogte";"Modeltype"
"1";"Amerikaanse eik";"DomANT09103";"Cruysveld";0,25;4;"20 - 30";6,38681521608385;"basismodel"
"2";"Amerikaanse eik";"DomANT09118";"De Inslag - Eig. ANB";0,25;4;"20 - 30";8,38881826754216;"basismodel"
"3";"Amerikaanse eik";"DomANT09215";"Gewestbos Ravels";0,25;4;"20 - 30";8,54944463455696;"basismodel"
"4";"Amerikaanse eik";"DomANT09241";"Grotenhout";0,25;4;"20 - 30";6,53095891201697;"basismodel"
"5";"Amerikaanse eik";"DomANT09267";"Herenbossen";0,25;4;"20 - 30";10,3795820644518;"basismodel"
"6";"Amerikaanse eik";"DomANT09270";"Hertberg West";0,25;4;"20 - 30";10,4891163608264;"basismodel"
"7";"Amerikaanse eik";"DomANT11042";"Hertberg Oost";0,25;4;"20 - 30";10,3950798413484;"basismodel"
"8";"Amerikaanse eik";"DomANT11116";"Park van Brasschaat";0,25;4;"20 - 30";7,82912975582134;"basismodel"
"9";"Amerikaanse eik";"DomLIM09145";"Rodenberg";0,25;4;"20 - 30";9,14298742322534;"basismodel"
"10";"Amerikaanse eik";"DomLIM09169";"Dilserheide";0,25;4;"20 - 30";8,49717867885402;"basismodel"
"11";"Amerikaanse eik";"DomLIM09243";"Gruitroderheide";0,25;4;"20 - 30";8,48161391140348;"basismodel"
"12";"Amerikaanse eik";"DomLIM09325";"MD Kamp Beverlo";0,25;4;"20 - 30";9,82480429787048;"basismodel"
"13";"Amerikaanse eik";"DomLIM09354";"Koerselseheide";0,25;4;"20 - 30";14,7678992162795;"basismodel"
"14";"Amerikaanse eik";"DomLIM09449";"Op  t Stort";0,25;4;"20 - 30";9,16789508211918;"basismodel"
"15";"Amerikaanse eik";"DomLIM09460";"Ophovenderheide";0,25;4;"20 - 30";8,40513760332812;"basismodel"
"16";"Amerikaanse eik";"DomLIM09470";"Pietersembos";0,25;4;"20 - 30";9,28503389885347;"basismodel"
"17";"Amerikaanse eik";"DomLIM09471";"Pijnven";0,25;4;"20 - 30";9,48507291757958;"basismodel"
"18";"Amerikaanse eik";"DomLIM09500";"Schoonbeek";0,25;4;"20 - 30";9,08877431419904;"basismodel"
"19";"Amerikaanse eik";"DomLIM09559";"Van Soest";0,25;4;"20 - 30";7,46376655412365;"basismodel"
"20";"Amerikaanse eik";"DomLIM09593";"Wetsberg";0,25;4;"20 - 30";9,52888842672295;"basismodel"
"21";"Amerikaanse eik";"DomLIM09641";"Galgenberg en Molenveld";0,25;4;"20 - 30";9,64574710062908;"basismodel"
"22";"Amerikaanse eik";"DomLIM09642";"Schietveld Helchteren";0,25;4;"20 - 30";7,54381837150145;"basismodel"
"23";"Amerikaanse eik";"DomLIM13010";"Grote Heide - Zuid";0,25;4;"20 - 30";9,50673244559977;"basismodel"
"24";"Amerikaanse eik";"DomLIM13140";"Klitsberg";0,25;4;"20 - 30";17,6060702646628;"basismodel"
"25";"Amerikaanse eik";"DomOVL09005";"Makegemse bossen";0,25;4;"20 - 30";12,1882106780073;"basismodel"
"26";"Amerikaanse eik";"DomOVL09051";"Drongengoed";0,25;4;"20 - 30";7,92275052773994;"basismodel"
"27";"Amerikaanse eik";"DomOVL09082";"Hooggoed";0,25;4;"20 - 30";6,82538319426133;"basismodel"
"28";"Amerikaanse eik";"DomOVL09093";"Raspailleboscomplex";0,25;4;"20 - 30";9,73458928946032;"basismodel"
"29";"Amerikaanse eik";"DomVBR09022";"Bertembos";0,25;4;"20 - 30";8,1548710604708;"basismodel"
"30";"Amerikaanse eik";"DomVBR09169";"Heverleebos";0,25;4;"20 - 30";14,9008442555829;"basismodel"
"31";"Amerikaanse eik";"DomVBR09243";"Meerdaalwoud";0,25;4;"20 - 30";14,705543947426;"basismodel"
"32";"Amerikaanse eik";"DomVBR09249";"Meetshovenbos";0,25;4;"20 - 30";10,8171667937015;"basismodel"
"33";"Amerikaanse eik";"DomWVL09073";"Helleketelbos";0,25;4;"20 - 30";8,7011343400251;"basismodel"
"34";"Amerikaanse eik";"DomWVL09125";"Bulskampveld provincie";0,25;4;"20 - 30";8,03784854139796;"basismodel"
"35";"Amerikaanse eik";"DomWVL09192";"Rijckevelde";0,25;4;"20 - 30";11,923915687862;"basismodel"
"36";"Amerikaanse eik";"DomANT09103";"Cruysveld";0,35;5;"30 - 40";11,1953331311099;"basismodel"
"37";"Amerikaanse eik";"DomANT09118";"De Inslag - Eig. ANB";0,35;5;"30 - 40";11,8878220957408;"basismodel"
"38";"Amerikaanse eik";"DomANT09215";"Gewestbos Ravels";0,35;5;"30 - 40";11,3328217770419;"basismodel"
"39";"Amerikaanse eik";"DomANT09241";"Grotenhout";0,35;5;"30 - 40";9,81158230040895;"basismodel"
"40";"Amerikaanse eik";"DomANT09267";"Herenbossen";0,35;5;"30 - 40";14,024549700425;"basismodel"
"41";"Amerikaanse eik";"DomANT09270";"Hertberg West";0,35;5;"30 - 40";12,8421037837229;"basismodel"
"42";"Amerikaanse eik";"DomANT09515";"Peerdsbos";0,35;5;"30 - 40";11,3931379366145;"basismodel"
"43";"Amerikaanse eik";"DomANT11042";"Hertberg Oost";0,35;5;"30 - 40";13,2580606483458;"basismodel"
"44";"Amerikaanse eik";"DomANT11116";"Park van Brasschaat";0,35;5;"30 - 40";10,906540970194;"basismodel"
"45";"Amerikaanse eik";"DomLIM09145";"Rodenberg";0,35;5;"30 - 40";12,8373588640101;"basismodel"
"46";"Amerikaanse eik";"DomLIM09169";"Dilserheide";0,35;5;"30 - 40";11,5255714621995;"basismodel"
"47";"Amerikaanse eik";"DomLIM09243";"Gruitroderheide";0,35;5;"30 - 40";11,0167119145173;"basismodel"
"48";"Amerikaanse eik";"DomLIM09325";"MD Kamp Beverlo";0,35;5;"30 - 40";12,9573961969146;"basismodel"
"49";"Amerikaanse eik";"DomLIM09354";"Koerselseheide";0,35;5;"30 - 40";15,1377442620396;"basismodel"
"50";"Amerikaanse eik";"DomLIM09449";"Op  t Stort";0,35;5;"30 - 40";11,1650968337082;"basismodel"
"51";"Amerikaanse eik";"DomLIM09460";"Ophovenderheide";0,35;5;"30 - 40";11,4476148451466;"basismodel"
"52";"Amerikaanse eik";"DomLIM09470";"Pietersembos";0,35;5;"30 - 40";11,5679055171293;"basismodel"
"53";"Amerikaanse eik";"DomLIM09471";"Pijnven";0,35;5;"30 - 40";11,8957893230909;"basismodel"
"54";"Amerikaanse eik";"DomLIM09500";"Schoonbeek";0,35;5;"30 - 40";12,828306716295;"basismodel"
"55";"Amerikaanse eik";"DomLIM09559";"Van Soest";0,35;5;"30 - 40";10,4225361350074;"basismodel"
"56";"Amerikaanse eik";"DomLIM09593";"Wetsberg";0,35;5;"30 - 40";12,7434704180901;"basismodel"
"57";"Amerikaanse eik";"DomLIM09641";"Galgenberg en Molenveld";0,35;5;"30 - 40";12,0157795979091;"basismodel"
"58";"Amerikaanse eik";"DomLIM09642";"Schietveld Helchteren";0,35;5;"30 - 40";12,1779957700959;"basismodel"
"59";"Amerikaanse eik";"DomLIM13010";"Grote Heide - Zuid";0,35;5;"30 - 40";12,4810060801277;"basismodel"
"60";"Amerikaanse eik";"DomLIM13140";"Klitsberg";0,35;5;"30 - 40";18,1935955745968;"basismodel"
"61";"Amerikaanse eik";"DomOVL09005";"Makegemse bossen";0,35;5;"30 - 40";15,5292399915106;"basismodel"
"62";"Amerikaanse eik";"DomOVL09051";"Drongengoed";0,35;5;"30 - 40";11,3069031725517;"basismodel"
"63";"Amerikaanse eik";"DomOVL09082";"Hooggoed";0,35;5;"30 - 40";10,1016952347955;"basismodel"
"64";"Amerikaanse eik";"DomOVL09093";"Raspailleboscomplex";0,35;5;"30 - 40";14,2595137767082;"basismodel"
"65";"Amerikaanse eik";"DomVBR09022";"Bertembos";0,35;5;"30 - 40";11,9843299999061;"basismodel"
"66";"Amerikaanse eik";"DomVBR09169";"Heverleebos";0,35;5;"30 - 40";17,1345613037647;"basismodel"
"67";"Amerikaanse eik";"DomVBR09243";"Meerdaalwoud";0,35;5;"30 - 40";16,6979286775673;"basismodel"
